Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
Asia,Sri Lanka,Personal Care,Online,M,13/06/0015,186623227,25/07/0015,4815,81.73,56.67
Asia,Indonesia,Fruits,Online,M,26/03/0010,466111552,28/04/0010,1621,9.33,6.92
Asia,Indonesia,Baby Food,Offline,M,18/07/0014,485671937,02/09/0014,9974,255.28,159.42
Asia,India,Household,Offline,H,22/08/0011,638393485,04/10/0011,3674,668.27,502.54
Asia,Indonesia,Cosmetics,Online,H,09/02/0012,681940543,30/03/0012,216,437.2,263.33
Asia,India,Clothes,Online,H,04/01/0013,331017911,11/02/0013,4411,109.28,35.84
Asia,Sri Lanka,Beverages,Online,H,10/11/0013,329395711,18/12/0013,4366,47.45,31.79
Asia,India,Household,Offline,M,25/10/0010,814805591,26/11/0010,7936,668.27,502.54
Asia,India,Office Supplies,Offline,H,09/11/0014,967189395,21/12/0014,1690,651.21,524.96
Asia,Sri Lanka,Clothes,Offline,M,22/07/0010,456244456,08/08/0010,1728,109.28,35.84
Asia,India,Office Supplies,Online,H,13/02/0015,390249669,28/03/0015,2404,651.21,524.96
Asia,Indonesia,Cosmetics,Offline,M,28/04/0011,922192656,14/05/0011,6155,437.2,263.33
Asia,Indonesia,Cereal,Online,H,07/08/0016,758576619,08/09/0016,8534,205.7,117.11
Asia,Indonesia,Beverages,Online,M,21/02/0015,359472501,23/02/0015,4756,47.45,31.79
Asia,Sri Lanka,Cereal,Offline,H,11/12/0014,694480836,13/12/0014,1167,205.7,117.11
Asia,India,Fruits,Online,M,11/03/0010,464968717,22/03/0010,3431,9.33,6.92
Asia,India,Beverages,Online,H,16/03/0016,493210446,30/04/0016,786,47.45,31.79
Asia,Sri Lanka,Beverages,Online,H,06/09/0015,798963820,25/10/0015,4,47.45,31.79
Asia,Indonesia,Beverages,Online,M,15/08/0013,189429891,04/10/0013,5369,47.45,31.79
Asia,Sri Lanka,Baby Food,Online,M,01/01/0017,748948562,07/02/0017,9378,255.28,159.42
Asia,India,Personal Care,Online,H,27/04/0012,603429067,05/06/0012,6925,81.73,56.67
Asia,India,Baby Food,Online,M,14/11/0014,689676463,17/12/0014,9446,255.28,159.42
Asia,Indonesia,Office Supplies,Offline,H,02/12/0016,871585166,02/12/0016,274,651.21,524.96
Asia,India,Vegetables,Online,H,10/01/0014,108918130,11/01/0014,150,154.06,90.93
Asia,India,Household,Online,M,24/07/0013,374804008,09/08/0013,1690,668.27,502.54
Asia,Indonesia,Household,Online,H,19/06/0011,431245839,05/08/0011,4082,668.27,502.54
Asia,Indonesia,Cereal,Online,M,01/02/0014,779856622,26/02/0014,5759,205.7,117.11
Asia,India,Clothes,Offline,H,26/07/0010,170544993,07/08/0010,6908,109.28,35.84
Asia,Sri Lanka,Beverages,Offline,M,14/02/0016,651229894,01/04/0016,2252,47.45,31.79
Asia,Sri Lanka,Baby Food,Offline,H,18/09/0011,468448293,07/10/0011,3115,255.28,159.42
Asia,India,Baby Food,Offline,H,20/06/0010,728953015,26/06/0010,2251,255.28,159.42
Asia,Sri Lanka,Household,Offline,M,06/11/0013,960028970,05/12/0013,2761,668.27,502.54
Asia,Sri Lanka,Vegetables,Offline,M,30/10/0014,586714398,14/12/0014,683,154.06,90.93
Asia,India,Meat,Online,H,24/10/0012,373084390,29/11/0012,2817,421.89,364.69
Asia,Sri Lanka,Cereal,Online,H,02/10/0011,444913518,27/10/0011,8652,205.7,117.11
Asia,Sri Lanka,Cereal,Online,M,03/09/0013,181324040,22/10/0013,6668,205.7,117.11
Asia,Sri Lanka,Vegetables,Online,M,10/06/0014,171276271,12/07/0014,3310,154.06,90.93
Asia,Sri Lanka,Cosmetics,Online,M,28/05/0015,534979522,30/05/0015,1184,437.2,263.33
Asia,Sri Lanka,Cereal,Offline,H,02/07/0014,226970088,11/07/0014,4348,205.7,117.11
Asia,Indonesia,Vegetables,Online,M,24/06/0010,713564431,05/07/0010,8427,154.06,90.93
Asia,Indonesia,Baby Food,Online,M,03/02/0013,443309342,21/03/0013,3941,255.28,159.42
Asia,Indonesia,Vegetables,Online,M,21/03/0012,920769155,29/04/0012,4909,154.06,90.93
Asia,Sri Lanka,Cosmetics,Offline,H,13/07/0013,628583467,21/07/0013,671,437.2,263.33
Asia,India,Baby Food,Online,M,24/06/0017,328425395,12/08/0017,7228,255.28,159.42
Asia,India,Baby Food,Online,H,31/08/0012,641973054,05/09/0012,2948,255.28,159.42
Asia,India,Baby Food,Offline,M,12/02/0010,599413049,05/03/0010,8496,255.28,159.42
Asia,Indonesia,Cereal,Online,M,11/10/0015,934988725,02/11/0015,2796,205.7,117.11
Asia,Sri Lanka,Baby Food,Offline,M,09/11/0010,581020390,12/12/0010,5700,255.28,159.42
Asia,Sri Lanka,Cosmetics,Online,M,30/06/0015,650892150,09/07/0015,2306,437.2,263.33
Asia,Sri Lanka,Snacks,Online,M,13/09/0011,789648616,21/10/0011,3428,152.58,97.44
Asia,India,Clothes,Offline,H,29/08/0011,539251315,22/09/0011,5302,109.28,35.84
Asia,India,Fruits,Offline,H,06/12/0016,197264516,25/01/0017,3809,9.33,6.92
Asia,Sri Lanka,Household,Offline,M,18/12/0016,947232902,10/01/0017,6120,668.27,502.54
Asia,India,Vegetables,Online,M,29/09/0012,642212092,24/10/0012,3684,154.06,90.93
Asia,Indonesia,Fruits,Online,H,24/06/0012,121771275,03/08/0012,3681,9.33,6.92
Asia,India,Beverages,Offline,H,28/01/0010,400889670,11/02/0010,1017,47.45,31.79
Asia,Sri Lanka,Meat,Offline,M,04/08/0012,300421416,22/09/0012,228,421.89,364.69
Asia,Indonesia,Fruits,Online,H,25/12/0010,249394214,05/01/0011,145,9.33,6.92
Asia,Sri Lanka,Cosmetics,Online,M,10/04/0014,780375039,23/04/0014,9171,437.2,263.33
Asia,India,Fruits,Online,M,07/06/0014,884718978,21/07/0014,6861,9.33,6.92
Asia,India,Household,Offline,M,09/10/0013,645791661,16/11/0013,2958,668.27,502.54
Asia,Sri Lanka,Household,Offline,M,25/01/0012,466926085,18/02/0012,2660,668.27,502.54
Asia,Sri Lanka,Office Supplies,Online,H,02/08/0012,165738046,20/08/0012,4426,651.21,524.96
Asia,India,Vegetables,Online,H,12/07/0016,543521821,20/07/0016,9040,154.06,90.93
Asia,India,Cereal,Offline,M,25/02/0010,575878274,23/03/0010,4033,205.7,117.11
Asia,India,Office Supplies,Offline,M,06/05/0017,735618627,21/06/0017,4754,651.21,524.96
Asia,Sri Lanka,Snacks,Online,H,08/12/0013,679133880,20/01/0014,9662,152.58,97.44
Asia,Indonesia,Household,Offline,H,17/01/0011,789270532,19/01/0011,1545,668.27,502.54
Asia,Indonesia,Personal Care,Offline,H,29/04/0016,935087430,08/06/0016,2005,81.73,56.67
Asia,India,Cosmetics,Offline,M,11/06/0012,430061376,20/07/0012,3573,437.2,263.33
Asia,Indonesia,Office Supplies,Online,H,08/07/0012,910861718,01/08/0012,3079,651.21,524.96
Asia,India,Office Supplies,Offline,M,14/07/0016,678205192,21/08/0016,4842,651.21,524.96
Asia,Sri Lanka,Clothes,Offline,M,03/11/0015,514686572,07/12/0015,6049,109.28,35.84
Asia,Indonesia,Clothes,Online,M,05/08/0012,998475539,20/08/0012,9955,109.28,35.84
Asia,India,Meat,Online,H,11/12/0014,995727241,07/01/0015,6673,421.89,364.69
Asia,Sri Lanka,Beverages,Online,H,05/10/0013,384611451,31/10/0013,3930,47.45,31.79
Asia,India,Fruits,Online,M,20/11/0013,250365817,28/12/0013,7664,9.33,6.92
Asia,Sri Lanka,Cereal,Offline,M,23/07/0014,501100862,01/09/0014,5735,205.7,117.11
Asia,Indonesia,Baby Food,Offline,M,13/07/0016,127704322,04/08/0016,9402,255.28,159.42
Asia,India,Vegetables,Offline,M,14/07/0016,765579974,23/07/0016,982,154.06,90.93
Asia,Sri Lanka,Beverages,Offline,H,08/05/0017,965863311,21/06/0017,9272,47.45,31.79
Asia,India,Baby Food,Offline,H,24/05/0010,688647782,17/06/0010,5037,255.28,159.42
Asia,Indonesia,Meat,Online,M,09/03/0016,176535117,04/04/0016,9519,421.89,364.69
Asia,Sri Lanka,Vegetables,Offline,H,09/01/0017,190301501,30/01/0017,3298,154.06,90.93
Asia,India,Household,Offline,M,09/01/0010,745624768,05/02/0010,5793,668.27,502.54
Asia,Indonesia,Baby Food,Offline,M,31/10/0016,427229821,29/11/0016,5653,255.28,159.42
Asia,Indonesia,Beverages,Offline,M,18/12/0014,215022027,29/12/0014,8651,47.45,31.79
Asia,Sri Lanka,Baby Food,Online,M,30/05/0017,252619302,01/06/0017,4520,255.28,159.42
Asia,Indonesia,Cereal,Offline,M,27/08/0015,842610871,06/09/0015,6136,205.7,117.11
Asia,India,Snacks,Online,M,17/06/0013,120586812,19/07/0013,3172,152.58,97.44
Asia,Indonesia,Beverages,Online,H,24/07/0012,562505424,05/08/0012,6710,47.45,31.79
Asia,Sri Lanka,Cereal,Online,M,07/02/0014,882660329,19/03/0014,7661,205.7,117.11
Asia,India,Snacks,Offline,M,20/12/0013,691099965,31/12/0013,692,152.58,97.44
Asia,India,Fruits,Offline,M,21/12/0011,736013448,05/01/0012,1590,9.33,6.92
Asia,Indonesia,Baby Food,Offline,M,09/01/0012,962835633,15/02/0012,3315,255.28,159.42
Asia,Sri Lanka,Cosmetics,Offline,M,01/12/0012,988608443,20/01/0013,62,437.2,263.33
Asia,Indonesia,Meat,Offline,M,17/12/0016,170108544,24/12/0016,7753,421.89,364.69
Asia,India,Cosmetics,Online,M,28/06/0015,376960074,28/06/0015,9718,437.2,263.33
Asia,Sri Lanka,Cosmetics,Online,M,27/03/0013,463741338,27/04/0013,222,437.2,263.33
Asia,Sri Lanka,Vegetables,Online,M,27/02/0010,365627849,20/03/0010,6260,154.06,90.93
Asia,Sri Lanka,Snacks,Offline,M,05/01/0015,381665742,07/01/0015,2229,152.58,97.44
Asia,India,Personal Care,Online,M,16/03/0012,670412194,08/04/0012,8721,81.73,56.67
Asia,Indonesia,Meat,Online,M,25/03/0014,376284587,20/04/0014,9826,421.89,364.69
Asia,Indonesia,Household,Offline,H,29/12/0015,484347140,02/02/0016,7937,668.27,502.54
Asia,Indonesia,Meat,Online,M,07/07/0010,602654874,22/08/0010,7824,421.89,364.69
Asia,India,Cosmetics,Online,M,05/04/0015,117739808,01/05/0015,680,437.2,263.33
Asia,Indonesia,Meat,Offline,H,07/11/0012,374227225,15/11/0012,1007,421.89,364.69
Asia,Indonesia,Personal Care,Online,H,23/02/0011,143487727,01/04/0011,62,81.73,56.67
Asia,Sri Lanka,Baby Food,Offline,H,23/03/0012,138961446,11/05/0012,635,255.28,159.42
Asia,Indonesia,Baby Food,Online,H,17/11/0016,257244288,24/11/0016,3156,255.28,159.42
Asia,India,Meat,Online,M,28/02/0015,588773047,19/04/0015,9883,421.89,364.69
Asia,Sri Lanka,Personal Care,Online,H,01/07/0016,269431388,27/07/0016,9590,81.73,56.67
Asia,India,Cereal,Offline,M,20/11/0013,337740600,29/11/0013,3804,205.7,117.11
Asia,Indonesia,Personal Care,Offline,H,21/03/0016,830942189,21/04/0016,3114,81.73,56.67
Asia,India,Meat,Online,H,07/07/0016,380539643,20/07/0016,8992,421.89,364.69
Asia,India,Clothes,Offline,M,21/02/0014,985622394,21/03/0014,6424,109.28,35.84
Asia,Indonesia,Cereal,Offline,H,07/07/0013,613154542,21/07/0013,4909,205.7,117.11
Asia,Indonesia,Cosmetics,Online,H,07/11/0013,889145267,04/12/0013,6698,437.2,263.33
Asia,Indonesia,Cosmetics,Offline,H,15/02/0013,110341632,17/03/0013,1396,437.2,263.33
Asia,India,Vegetables,Online,M,08/07/0016,689972579,12/08/0016,7074,154.06,90.93
Asia,Indonesia,Beverages,Offline,H,03/07/0014,287148559,11/08/0014,2494,47.45,31.79
Asia,India,Beverages,Offline,H,29/11/0013,329594409,09/12/0013,3165,47.45,31.79
Asia,India,Snacks,Online,M,10/11/0016,641141784,11/12/0016,6956,152.58,97.44
Asia,Sri Lanka,Clothes,Online,M,26/02/0017,242613160,19/03/0017,3480,109.28,35.84
Asia,Sri Lanka,Office Supplies,Offline,M,17/01/0012,653443038,30/01/0012,7171,651.21,524.96
Asia,India,Meat,Offline,M,03/03/0013,946740663,26/03/0013,456,421.89,364.69
Asia,India,Meat,Online,M,17/01/0016,908549869,27/02/0016,8951,421.89,364.69
Asia,India,Meat,Online,M,03/01/0011,284935414,26/01/0011,7576,421.89,364.69
Asia,India,Cereal,Offline,M,03/03/0015,989201962,13/04/0015,5698,205.7,117.11
Asia,Indonesia,Beverages,Online,M,10/06/0016,999166476,17/07/0016,4419,47.45,31.79
Asia,India,Fruits,Online,H,24/05/0014,598820817,10/06/0014,3242,9.33,6.92
Asia,Sri Lanka,Snacks,Offline,H,29/03/0012,301943624,12/05/0012,683,152.58,97.44
Asia,Sri Lanka,Cosmetics,Offline,H,30/06/0013,564743459,01/08/0013,8994,437.2,263.33
Asia,Indonesia,Fruits,Offline,M,27/12/0014,778433120,12/02/0015,4514,9.33,6.92
Asia,Sri Lanka,Clothes,Offline,M,02/02/0013,645255219,03/03/0013,4213,109.28,35.84
Asia,Sri Lanka,Personal Care,Offline,M,06/04/0013,127152431,22/04/0013,6085,81.73,56.67
Asia,Sri Lanka,Baby Food,Online,M,18/09/0014,807390677,21/09/0014,3698,255.28,159.42
Asia,India,Cosmetics,Online,H,04/05/0014,634122979,12/05/0014,9936,437.2,263.33
Asia,India,Household,Offline,M,06/05/0012,813719832,17/06/0012,6636,668.27,502.54
Asia,India,Clothes,Online,H,31/08/0013,169516313,03/09/0013,2499,109.28,35.84
Asia,Sri Lanka,Office Supplies,Online,M,26/05/0013,445209634,22/06/0013,6279,651.21,524.96
Asia,India,Baby Food,Offline,H,02/01/0010,273209655,13/01/0010,7663,255.28,159.42
Asia,Sri Lanka,Office Supplies,Offline,M,19/06/0012,295418345,26/06/0012,9708,651.21,524.96
Asia,Indonesia,Personal Care,Offline,M,07/05/0012,838397443,15/05/0012,9289,81.73,56.67
Asia,Indonesia,Snacks,Offline,H,23/03/0012,199139916,21/04/0012,8781,152.58,97.44
Asia,Indonesia,Cereal,Online,H,31/08/0014,355991637,06/09/0014,4691,205.7,117.11
Asia,Sri Lanka,Snacks,Online,H,11/02/0011,769397294,15/02/0011,612,152.58,97.44
Asia,Indonesia,Clothes,Offline,H,12/09/0016,287543380,20/09/0016,9331,109.28,35.84
Asia,Sri Lanka,Household,Online,M,26/05/0012,830291593,03/06/0012,588,668.27,502.54
Asia,India,Cereal,Online,H,05/12/0012,877658545,10/01/0013,7522,205.7,117.11
Asia,Indonesia,Cereal,Online,M,14/08/0015,778770864,17/09/0015,4459,205.7,117.11
Asia,Indonesia,Household,Offline,H,02/11/0016,518225800,21/12/0016,3385,668.27,502.54
Asia,Indonesia,Vegetables,Online,H,18/10/0012,409529387,07/12/0012,7701,154.06,90.93
Asia,Indonesia,Baby Food,Offline,H,29/07/0014,327453792,19/08/0014,9709,255.28,159.42
Asia,Indonesia,Vegetables,Offline,M,03/08/0016,817652595,11/09/0016,428,154.06,90.93
Asia,India,Cereal,Offline,M,27/03/0013,499242198,10/05/0013,5716,205.7,117.11
Asia,Sri Lanka,Clothes,Offline,H,03/03/0017,908787620,26/03/0017,9307,109.28,35.84
Asia,Sri Lanka,Meat,Offline,H,25/10/0016,731939065,22/11/0016,5889,421.89,364.69
Asia,India,Snacks,Online,M,13/04/0017,283117091,08/05/0017,9494,152.58,97.44
Asia,Sri Lanka,Vegetables,Online,M,03/09/0016,960761535,09/10/0016,9543,154.06,90.93
Asia,Indonesia,Cosmetics,Online,H,29/09/0013,785000026,17/10/0013,7807,437.2,263.33
Asia,India,Fruits,Online,H,22/07/0014,755038678,27/07/0014,1578,9.33,6.92
Asia,Indonesia,Household,Online,H,21/03/0011,996418178,08/05/0011,1136,668.27,502.54
Asia,India,Vegetables,Offline,M,16/02/0015,921740758,03/03/0015,2428,154.06,90.93
Asia,India,Vegetables,Offline,H,20/04/0012,789946019,17/05/0012,1436,154.06,90.93
Asia,India,Snacks,Online,M,31/10/0014,800586020,19/12/0014,49,152.58,97.44
Asia,Sri Lanka,Clothes,Offline,M,25/12/0016,935465514,20/01/0017,3889,109.28,35.84
Asia,Indonesia,Office Supplies,Online,M,22/08/0010,782407510,20/09/0010,624,651.21,524.96
Asia,India,Personal Care,Online,M,06/10/0011,202901446,05/11/0011,1902,81.73,56.67
Asia,India,Household,Offline,H,03/12/0011,949686372,19/01/0012,2156,668.27,502.54
Asia,Indonesia,Cereal,Offline,H,27/01/0012,705475318,12/03/0012,4679,205.7,117.11
Asia,India,Personal Care,Offline,H,21/09/0010,564209592,07/11/0010,1011,81.73,56.67
Asia,Indonesia,Household,Offline,M,14/05/0016,233610808,30/06/0016,9484,668.27,502.54
Asia,India,Household,Online,H,15/03/0012,360979259,16/03/0012,639,668.27,502.54
Asia,India,Baby Food,Online,M,07/08/0011,483557498,23/09/0011,4264,255.28,159.42
Asia,Sri Lanka,Snacks,Offline,H,11/07/0017,360385739,21/07/0017,5004,152.58,97.44
Asia,Sri Lanka,Household,Online,M,31/01/0017,202307927,11/03/0017,6266,668.27,502.54
Asia,Sri Lanka,Baby Food,Offline,M,27/01/0013,482273042,02/03/0013,4165,255.28,159.42
Asia,Indonesia,Fruits,Offline,H,22/02/0012,658405768,27/02/0012,5753,9.33,6.92
Asia,India,Snacks,Online,H,10/12/0015,257524955,23/12/0015,6212,152.58,97.44
Asia,India,Snacks,Offline,H,15/06/0013,798528659,16/07/0013,1230,152.58,97.44
Asia,Sri Lanka,Clothes,Online,H,19/10/0015,228788411,25/10/0015,2430,109.28,35.84
Asia,Sri Lanka,Fruits,Online,M,21/05/0010,712222898,07/06/0010,1437,9.33,6.92
Asia,Indonesia,Cereal,Online,M,11/05/0013,678994834,06/06/0013,8515,205.7,117.11
Asia,Indonesia,Beverages,Online,M,26/03/0017,980972516,15/04/0017,422,47.45,31.79
Asia,India,Personal Care,Offline,H,03/06/0010,177309310,21/06/0010,8620,81.73,56.67
Asia,Indonesia,Clothes,Online,M,02/10/0015,371577632,08/11/0015,6933,109.28,35.84
Asia,India,Cosmetics,Online,M,01/03/0017,765917718,17/04/0017,928,437.2,263.33
Asia,India,Office Supplies,Online,H,05/08/0010,559206521,10/08/0010,491,651.21,524.96
Asia,India,Office Supplies,Offline,H,26/03/0016,969246757,04/04/0016,509,651.21,524.96
Asia,Indonesia,Fruits,Offline,H,29/05/0016,388446795,10/07/0016,8894,9.33,6.92
Asia,India,Meat,Online,H,02/03/0017,219038045,31/03/0017,7080,421.89,364.69
Asia,Sri Lanka,Clothes,Offline,H,17/12/0016,637799966,18/12/0016,8038,109.28,35.84
Asia,India,Snacks,Online,M,08/02/0017,975969445,10/03/0017,9902,152.58,97.44
Asia,India,Household,Offline,M,25/09/0012,329157960,30/09/0012,4010,668.27,502.54
Asia,Indonesia,Personal Care,Online,M,02/06/0012,878702676,13/07/0012,6503,81.73,56.67
Asia,Sri Lanka,Cosmetics,Offline,M,22/09/0012,793228185,22/09/0012,2702,437.2,263.33
Asia,Indonesia,Personal Care,Online,M,03/03/0011,353778493,12/04/0011,9773,81.73,56.67
Asia,Indonesia,Cereal,Offline,H,26/04/0016,447283732,24/05/0016,51,205.7,117.11
Asia,Indonesia,Fruits,Offline,H,08/09/0015,509643161,23/10/0015,3592,9.33,6.92
Asia,Sri Lanka,Snacks,Online,M,18/11/0013,627061259,30/11/0013,216,152.58,97.44
Asia,Sri Lanka,Vegetables,Offline,M,23/06/0010,740760743,25/06/0010,6420,154.06,90.93
Asia,Sri Lanka,Cereal,Offline,H,30/08/0014,383187949,17/10/0014,2684,205.7,117.11
Asia,Indonesia,Office Supplies,Online,M,01/09/0014,993867290,15/10/0014,6272,651.21,524.96
Asia,India,Beverages,Online,M,26/04/0017,259582316,27/05/0017,5031,47.45,31.79
Asia,Indonesia,Beverages,Offline,H,22/11/0011,648399627,16/12/0011,4713,47.45,31.79
Asia,Indonesia,Cereal,Online,H,03/10/0011,330342423,16/10/0011,4519,205.7,117.11
Asia,Sri Lanka,Vegetables,Offline,M,19/06/0011,942624652,20/06/0011,2437,154.06,90.93
Asia,Sri Lanka,Snacks,Offline,M,12/08/0011,673735988,13/09/0011,2306,152.58,97.44
Asia,Sri Lanka,Household,Online,M,03/07/0015,151321065,22/08/0015,8121,668.27,502.54
Asia,Sri Lanka,Household,Online,H,18/10/0010,569013965,02/11/0010,2732,668.27,502.54
Asia,Sri Lanka,Baby Food,Online,H,06/09/0016,151757514,10/09/0016,7276,255.28,159.42
Asia,Indonesia,Cosmetics,Offline,M,13/06/0017,114513432,30/07/0017,5924,437.2,263.33
Asia,India,Clothes,Offline,M,06/05/0010,133382880,13/06/0010,9813,109.28,35.84
Asia,Sri Lanka,Cosmetics,Online,H,18/12/0015,935507142,29/12/0015,6207,437.2,263.33
Asia,Sri Lanka,Beverages,Online,M,22/02/0013,609953057,31/03/0013,7519,47.45,31.79
Asia,Sri Lanka,Cereal,Offline,M,20/04/0016,708305585,07/05/0016,2218,205.7,117.11
Asia,India,Beverages,Online,M,25/07/0017,507035195,03/08/0017,1837,47.45,31.79
Asia,Sri Lanka,Vegetables,Online,M,03/02/0011,515419137,16/03/0011,2831,154.06,90.93
Asia,Indonesia,Vegetables,Online,M,29/11/0013,175901257,05/01/0014,1946,154.06,90.93
Asia,Indonesia,Household,Online,H,20/03/0010,743624484,01/05/0010,3865,668.27,502.54
Asia,India,Clothes,Offline,H,07/01/0015,861282908,24/01/0015,1607,109.28,35.84
Asia,Sri Lanka,Household,Offline,M,18/12/0012,640252149,25/01/0013,3693,668.27,502.54
Asia,India,Baby Food,Offline,M,02/06/0011,339107024,07/06/0011,8159,255.28,159.42
Asia,India,Vegetables,Offline,M,10/01/0017,447860515,15/02/0017,734,154.06,90.93
Asia,India,Personal Care,Online,H,12/03/0010,818089044,25/04/0010,9583,81.73,56.67
Asia,India,Household,Offline,M,01/03/0010,976307189,18/03/0010,9848,668.27,502.54
Asia,Sri Lanka,Meat,Offline,H,11/09/0013,522676980,15/10/0013,588,421.89,364.69
Asia,India,Snacks,Offline,M,18/06/0014,373380506,26/07/0014,444,152.58,97.44
Asia,India,Snacks,Online,H,22/08/0011,463643920,22/08/0011,1394,152.58,97.44
Asia,Indonesia,Snacks,Offline,H,26/02/0017,805983912,06/03/0017,7405,152.58,97.44
Asia,Indonesia,Beverages,Offline,M,27/02/0011,940724360,19/03/0011,98,47.45,31.79
Asia,Indonesia,Meat,Offline,H,16/09/0011,853448283,02/10/0011,3167,421.89,364.69
Asia,India,Clothes,Online,H,11/08/0013,117443692,04/09/0013,3053,109.28,35.84
Asia,Sri Lanka,Cosmetics,Offline,H,20/01/0016,151419770,06/02/0016,7330,437.2,263.33
Asia,India,Baby Food,Offline,H,03/06/0017,954294621,21/06/0017,5840,255.28,159.42
Asia,Indonesia,Vegetables,Online,H,05/05/0013,143882548,10/05/0013,6898,154.06,90.93
Asia,India,Baby Food,Offline,H,05/12/0016,372014081,16/01/0017,6088,255.28,159.42
Asia,Sri Lanka,Fruits,Offline,H,01/09/0012,431722629,21/10/0012,5174,9.33,6.92
Asia,Indonesia,Vegetables,Offline,M,17/07/0017,955676496,27/07/0017,4767,154.06,90.93
Asia,India,Cereal,Online,H,11/08/0012,502525651,15/08/0012,7362,205.7,117.11
Asia,India,Household,Online,H,03/04/0012,413051879,04/05/0012,85,668.27,502.54
Asia,Sri Lanka,Clothes,Offline,M,16/03/0015,664420783,07/04/0015,5729,109.28,35.84
Asia,Sri Lanka,Office Supplies,Offline,M,21/03/0016,354946219,04/04/0016,5329,651.21,524.96
Asia,India,Fruits,Online,M,16/10/0010,251394498,02/12/0010,2073,9.33,6.92
